Honda;CBR 600 F3;1995 - 1998;105KM;600 cm;17;Chain;6;186;2055 x 835 x 685
Junak;SR 400;2022;42KM;400 cm;19;Chain;6;;2065 x 810 x 1120
BMW;F 900GS;2024;105KM;900 cm;14.5;Chain;6;;2270 x 943 x 1393
Suzuki;GSX-S 1000GX;2024;152KM;1000 cm;19;Chain;6;;2150 x 925 x 1350
Triumph;Daytona 660;2024;95KM;660 cm;14;Chain;6;;
Triumph;Daytona 955i;2001 - 2006;128KM;955 cm;21;Chain;6;;2112 x 725 x 1165
Ducati;Scrambler Icon;2023;72KM;800 cm;13.5;Chain;6;170;2103 x 893 x 1150
Harley-Davidson;Street Glide CVO;2023;115KM;1977 cm;;Chain;6;363;
Honda;CBR1000RR-R Fireblade SP;2020;217KM;1000 cm;16.1;Chain;6;201;2100 x 745 x 1140
Kawasaki;Z900 SE;2022;125KM;900 cm;17;Chain;6;;2065 x 825 x 1065
Kawasaki;ZZR 1400;2006 - 2011;190KM;1400 cm;22;Chain;6;220;2170 x 760 x 1180
Indian;Challenger Dark Horse;2020;122KM;1800 cm;;Chain;6;361;2501 x 990 x 1346
BMW;R1250RS 1250;2019;136KM;1250 cm;;Chain;6;;2187 x 890 x 1527
Honda;CB 750 Hornet;2022;92KM;750 cm;15;Chain;6;;
Indian;Sport Chief;2023;89KM;1900 cm;;Chain;6;302;2301 x 842 x 1270
Suzuki;V-Strom 800DE;2023;84KM;800 cm;20;Chain;6;230;2345 x 975 x 1310
Suzuki;GSX-8S;2023;83KM;800 cm;14;Chain;6;202;2115 x 775 x 1105
Harley-Davidson;Low Rider ST;2023;105KM;1900 cm;18.8;;6;315;2365 x 870 x 1300
BMW;R 1150R Rockster;2003 - 2005;95KM;1150 cm;20.4;Chain;6;219;2170 x 940 x 1220
Aprilia;Shiver 750;2007 - 2010;95KM;750 cm;16;Chain;6;189;2100 x 800 x 1135
Aprilia;RST 1000 Futura;2000 - 2005;114KM;1000 cm;21;Chain;6;;2170 x 740 x 1240
Honda;CBF 600N;2008 - 2012;76KM;600 cm;20;Chain;6;213;
BMW;R nineT Scrambler;2017;109KM;1170 cm;17;Chain;6;;2105 x 900 x 1250
Ducati;SuperSport 950S 2021;2021;110KM;950 cm;16;Chain;6;184;
Suzuki;Hayabusa;2021;190KM;1300 cm;20;Chain;6;;2180 x 735 x 1165
BMW;G 310 R;2021;34KM;300 cm;11;Chain;6;;2005 x 8489 x 1080
Honda;VFR 1200;2012 - 2015;172KM;1200 cm;18.5;Chain;6;;2250 x 755 x 1220
Husaberg;FE 501;2010 - 2012;50KM;500 cm;9.5;Chain;6;112;
Yamaha;Tracer 7007 GT;2021;73KM;700 cm;17;Chain;6;196;2140 x 835 x 1290
Ducati;DesertX;2021;110KM;950 cm;21;Chain;6;202;
Suzuki;GSX-S 950;2021;98KM;950 cm;19;Chain;6;;2115 x 810 x 1080
BMW;F 900R;2020;99KM;900 cm;13;Chain;6;;2140 x 815 x 1130
Suzuki;GSX-S 1000GT;2019;150KM;1000 cm;19;Chain;6;;2140 x 825 x 1215
Kawasaki;Versys 650;2022;67KM;650 cm;21;Chain;6;;2164 x 849 x 1369
Aprilia;Tuono 660;2021;95KM;660 cm;15;Chain;6;183;1995 x 805 x 820
Triumph;Tiger Sport 660;2022;81KM;660 cm;17.2;Chain;6;;2071 x 834 x 1398
